time,amplitude
0.000000000000000000e+00,-3.264000000000000000e+04
9.070664894948336559e-05,-3.264000000000000000e+04
1.814132978989667312e-04,-3.264000000000000000e+04
2.721199468484500968e-04,-3.264000000000000000e+04
3.628265957979334624e-04,-3.264000000000000000e+04
4.535332447474168280e-04,-3.264000000000000000e+04
5.442398936969001936e-04,-3.264000000000000000e+04
6.349465426463835049e-04,-3.264000000000000000e+04
7.256531915958669247e-04,-3.264000000000000000e+04
8.163598405453503445e-04,-3.264000000000000000e+04
9.070664894948336559e-04,3.263900000000000000e+04
9.977731384443169673e-04,3.263900000000000000e+04
1.088479787393800387e-03,3.263900000000000000e+04
1.179186436343283807e-03,3.263900000000000000e+04
1.269893085292767010e-03,3.263900000000000000e+04
1.360599734242250430e-03,3.263900000000000000e+04
1.451306383191733849e-03,3.263900000000000000e+04
1.542013032141217269e-03,3.263900000000000000e+04
1.632719681090700689e-03,3.263900000000000000e+04
1.723426330040183892e-03,3.263900000000000000e+04
1.814132978989667312e-03,-3.264000000000000000e+04
1.904839627939150732e-03,-3.264000000000000000e+04
1.995546276888633935e-03,-3.264000000000000000e+04
2.086252925838117354e-03,-3.264000000000000000e+04
2.176959574787600774e-03,-3.264000000000000000e+04
2.267666223737084194e-03,-3.264000000000000000e+04
2.358372872686567614e-03,-3.264000000000000000e+04
2.449079521636051034e-03,-3.264000000000000000e+04
2.539786170585534020e-03,-3.264000000000000000e+04
2.630492819535017440e-03,-3.264000000000000000e+04
2.721199468484500859e-03,-3.264000000000000000e+04
2.811906117433984279e-03,-3.264000000000000000e+04
2.902612766383467699e-03,-3.264000000000000000e+04
2.993319415332951119e-03,-3.264000000000000000e+04
3.084026064282434539e-03,-3.264000000000000000e+04
3.174732713231917958e-03,-3.264000000000000000e+04
3.265439362181401378e-03,-3.264000000000000000e+04
3.356146011130884364e-03,-3.264000000000000000e+04
3.446852660080367784e-03,-3.264000000000000000e+04
3.537559309029851204e-03,-3.264000000000000000e+04
3.628265957979334624e-03,-3.264000000000000000e+04
3.718972606928818044e-03,-3.264000000000000000e+04
3.809679255878301463e-03,-3.264000000000000000e+04
3.900385904827784883e-03,3.264000000000000000e+04
3.991092553777267869e-03,3.263900000000000000e+04
4.081799202726751723e-03,3.263900000000000000e+04
4.172505851676234709e-03,-3.264100000000000000e+04
4.263212500625718562e-03,-3.264000000000000000e+04
4.353919149575201548e-03,-3.264000000000000000e+04
4.444625798524684535e-03,-3.264000000000000000e+04
4.535332447474168388e-03,-3.264000000000000000e+04
4.626039096423651374e-03,-3.264000000000000000e+04
4.716745745373135228e-03,-3.264000000000000000e+04
4.807452394322618214e-03,-3.264000000000000000e+04
4.898159043272102067e-03,-3.264000000000000000e+04
4.988865692221585053e-03,-3.264000000000000000e+04
5.079572341171068040e-03,-3.264000000000000000e+04
5.170278990120551893e-03,-3.264000000000000000e+04
5.260985639070034879e-03,-3.264000000000000000e+04
5.351692288019518733e-03,-3.264000000000000000e+04
5.442398936969001719e-03,-3.264000000000000000e+04
5.533105585918485572e-03,-3.264000000000000000e+04
5.623812234867968558e-03,3.264000000000000000e+04
5.714518883817452412e-03,3.264000000000000000e+04
5.805225532766935398e-03,-3.264100000000000000e+04
5.895932181716418384e-03,-3.264100000000000000e+04
5.986638830665902238e-03,-3.264000000000000000e+04
6.077345479615385224e-03,-3.264000000000000000e+04
6.168052128564869077e-03,-3.264000000000000000e+04
6.258758777514352063e-03,-3.264000000000000000e+04
